ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0001410368-25-017052	0000798244	MFS SERIES TRUST I	811-04777	549300QRB5FQ35HH3533	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001532203-25-000068	0001532203	VANGUARD CHARLOTTE FUNDS	811-22619	549300Z9BHDBGHMJLU94	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001193125-25-334090	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-25-334094	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-25-334093	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001410368-25-042035	0000889508	AB LARGE CAP GROWTH FUND INC	811-06730	549300KG2R9A3RW3L081	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-25-042012	0000904333	SCHWAB CAPITAL TRUST	811-07704	549300PEK1H7N1HLC797	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
0001193125-25-334199	0000104865	Washington Mutual Investors Fund	811-00604	GMJOUC23TOBOTKRA5C67	6455 Irvine Center Drive		Irvine	US-CA	US	92618-4518	9499755000
0001193125-25-334095	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-25-334203	0000811968	Capital Income Builder	811-05085	HB3628X2G8I5EW1FVP36	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001410368-25-043395	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001410368-25-043505	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001099263-25-004485	0000810893	PIMCO Funds	811-05028	5493003B5Y5GR0Y25Y76	650 Newport Center Drive		Newport Beach	US-CA	US	92660	(888) 877-4626
0002071691-25-007832	0000867969	MFS Series Trust XVII	811-06174	UFVBYVCTWR03WBNW0U67	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0001084380-25-000525	0001084380	TIAA-CREF Funds	811-09301	549300L8R42TEBN5NG46	730 Third Avenue		New York	US-NY	US	10017	800-842-2733
0001410368-25-032903	0000060365	LORD ABBETT BOND DEBENTURE FUND INC	811-02145	W528K4KWQL50R13TDZ14	30 HUDSON STREET		JERSEY CITY	US-NJ	US	07302	201-827-2000
0000734383-25-000143	0000734383	VANGUARD SPECIALIZED FUNDS	811-03916	549300OM0CLBHZ9MZW59	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000107606-25-000043	0000107606	VANGUARD WINDSOR FUNDS	811-00834	5493006MMNJGHJDZOD60	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0002071691-25-007840	0000935015	Artisan Partners Funds Inc.	811-08932	549300VBCRY84OJ96193	875 E Wisconsin Ave		Milwaukee	US-WI	US	53202	414-390-6100
0000910472-25-005072	0001355064	MUTUAL FUND SERIES TRUST	811-21872	5493002ZGLQMLR4QMA96	C/O GEMINI FUND SERVICES LLC	4221 North 203rd Street, Suite 100	ELKHORN	US-NE	US	68022	631-470-2600
0000734383-25-000149	0000734383	VANGUARD SPECIALIZED FUNDS	811-03916	549300OM0CLBHZ9MZW59	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001193125-25-301782	0000277751	JANUS INVESTMENT FUND	811-01879	W6UYDZFUOFJ4HQQ32382	151 Detroit Street		Denver	US-CO	US	80206	303-333-3863
0001410368-25-040419	0000355437	DFA INVESTMENT DIMENSIONS GROUP INC	811-03258	549300XGRTBJCE41BD26	6300 BEE CAVE ROAD	BUILDING ONE	AUSTIN	US-TX	US	78746	512-306-7400
0001410368-25-040425	0000355437	DFA INVESTMENT DIMENSIONS GROUP INC	811-03258	549300XGRTBJCE41BD26	6300 BEE CAVE ROAD	BUILDING ONE	AUSTIN	US-TX	US	78746	512-306-7400
0001410368-25-040424	0000355437	DFA INVESTMENT DIMENSIONS GROUP INC	811-03258	549300XGRTBJCE41BD26	6300 BEE CAVE ROAD	BUILDING ONE	AUSTIN	US-TX	US	78746	512-306-7400
0001410368-25-040430	0000355437	DFA INVESTMENT DIMENSIONS GROUP INC	811-03258	549300XGRTBJCE41BD26	6300 BEE CAVE ROAD	BUILDING ONE	AUSTIN	US-TX	US	78746	512-306-7400
0000035402-25-003013	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001193125-25-334091	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001410368-25-039936	0000793769	HARBOR FUNDS	811-04676	549300YJH4HL5M6WFP75	111 SOUTH WACKER DRIVE	34TH FLOOR	CHICAGO	US-IL	US	60606	312-443-4400
0000035402-25-003052	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000225997-25-000214	0000225997	VANGUARD MUNICIPAL BOND FUNDS	811-02687	5493005YO1ELB2VD2X90	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000035402-25-002972	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0002071691-25-010101	0000906352	First Eagle Funds	811-07762	549300FE2F4XF7FZN136	1345 Avenue of the Americas		New York	US-NY	US	10105	800-334-2143
0000857489-25-000152	0000857489	VANGUARD INTERNATIONAL EQUITY INDEX FUNDS	811-05972	549300UR5XWDVDO7NP96	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000734383-25-000146	0000734383	VANGUARD SPECIALIZED FUNDS	811-03916	549300OM0CLBHZ9MZW59	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000857489-25-000149	0000857489	VANGUARD INTERNATIONAL EQUITY INDEX FUNDS	811-05972	549300UR5XWDVDO7NP96	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001193125-25-334200	0001073330	New World Fund Inc	811-09105	M3AFSEI8ZW2JEI726E06	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001410368-25-043387	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001099263-25-004447	0000810893	PIMCO Funds	811-05028	5493003B5Y5GR0Y25Y76	650 Newport Center Drive		Newport Beach	US-CA	US	92660	(888) 877-4626
0002071691-25-007797	0000763852	JPMorgan Trust II	811-04236	549300IMXLYKELY96B40	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0001084380-25-000533	0001084380	TIAA-CREF Funds	811-09301	549300L8R42TEBN5NG46	730 Third Avenue		New York	US-NY	US	10017	800-842-2733
0002071691-25-007782	0001217286	JPMorgan Trust I	811-21295	549300DM5WZMCZZ70R78	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0001410368-25-043382	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000225997-25-000213	0000225997	VANGUARD MUNICIPAL BOND FUNDS	811-02687	5493005YO1ELB2VD2X90	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001209466-25-000763	0001209466	Invesco Exchange-Traded Fund Trust	811-21265	QPT4TMG79RF3UWNU0R52	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0001099263-25-004413	0000810893	PIMCO Funds	811-05028	5493003B5Y5GR0Y25Y76	650 Newport Center Drive		Newport Beach	US-CA	US	92660	(888) 877-4626
0001099263-25-004476	0000810893	PIMCO Funds	811-05028	5493003B5Y5GR0Y25Y76	650 Newport Center Drive		Newport Beach	US-CA	US	92660	(888) 877-4626
0001099263-25-004484	0000810893	PIMCO Funds	811-05028	5493003B5Y5GR0Y25Y76	650 Newport Center Drive		Newport Beach	US-CA	US	92660	(888) 877-4626
0002071691-25-007774	0001485894	J.P. Morgan Exchange-Traded Fund Trust	811-22903	5493001E1K1DVWDV2464	277 Park Avenue		New York	US-NY	US	10172	844-457-6383
0001410368-25-041185	0001041130	SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST	811-09170	54930039F2SG3UG2OZ18	PDR SERVICES LLC C/O NYSE EURONEXT	11 WALL STREET	New York	US-NY	US	10005	212-656-4440
0001410368-25-041987	0000904333	SCHWAB CAPITAL TRUST	811-07704	549300PEK1H7N1HLC797	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
0002071691-25-009312	0000216934	Putnam Large Cap Value Fund	811-02742	CZH3VR3I6CWL6QA8GG38	100 Federal Street		Boston	US-MA	US	02110	617-292-1000
0001193125-25-334932	0000100334	American Century Mutual Funds, Inc.	811-00816	549300DMFK0SMVLOE939	4500 Main St		Kansas City	US-MO	US	64111	816-531-5575
0001410368-25-043401	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001193125-25-334098	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001410368-25-040405	0000896162	DFA INVESTMENT TRUST CO	811-07436	549300FSKWEXKF6YBM56	6300 BEE CAVE ROAD	BUILDING ONE	AUSTIN	US-TX	US	78746	512-306-7400
0000035402-25-002966	0000754510	Fidelity Securities Fund	811-04118	LIUMB3NDWOFJPXVROE85	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0002071691-25-009466	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-25-007738	0001485894	J.P. Morgan Exchange-Traded Fund Trust	811-22903	5493001E1K1DVWDV2464	277 Park Avenue		New York	US-NY	US	10172	844-457-6383
0002071691-25-007741	0000763852	JPMorgan Trust II	811-04236	549300IMXLYKELY96B40	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0000035402-25-002946	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001193125-25-334202	0000005506	American Mutual Fund	811-00572	QURFUUOMKQ61ME3JJZ05	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001004726-25-003417	0001816125	Dimensional ETF Trust	811-23580	549300TQ0DPO13B72F34	6300 Bee Cave Road	Building One	Austin	US-TX	US	78746	512-306-7400
0001193125-25-334214	0000050013	Income Fund of America	811-01880	TOHHXZTHT2ER8SHT3X45	6455 Irvine Center Drive		Irvine	US-CA	US	92618-4518	9499755000
0001410368-25-043408	0001761055	BlackRock ETF Trust	811-23402	5493007WBHAKV9JVS642	100 BELLEVUE PARKWAY		WILMINGTON	US-DE	US	19809	800-441-7762
0001099263-25-004419	0000810893	PIMCO Funds	811-05028	5493003B5Y5GR0Y25Y76	650 Newport Center Drive		Newport Beach	US-CA	US	92660	(888) 877-4626
0001099263-25-004472	0000810893	PIMCO Funds	811-05028	5493003B5Y5GR0Y25Y76	650 Newport Center Drive		Newport Beach	US-CA	US	92660	(888) 877-4626
0001410368-25-038298	0001557156	Goldman Sachs Trust II	811-22781	54930076LXUZ0NBAPG06	200 WEST STREET	15TH FLOOR	NEW YORK	US-NY	US	10282	212-902-1000
0000106444-25-000235	0000106444	VANGUARD FIXED INCOME SECURITIES FUNDS	811-02368	549300F3N7VQKU6I4K64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000857489-25-000147	0000857489	VANGUARD INTERNATIONAL EQUITY INDEX FUNDS	811-05972	549300UR5XWDVDO7NP96	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001532203-25-000066	0001532203	VANGUARD CHARLOTTE FUNDS	811-22619	549300Z9BHDBGHMJLU94	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000857489-25-000151	0000857489	VANGUARD INTERNATIONAL EQUITY INDEX FUNDS	811-05972	549300UR5XWDVDO7NP96	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001193125-25-301809	0000277751	JANUS INVESTMENT FUND	811-01879	W6UYDZFUOFJ4HQQ32382	151 Detroit Street		Denver	US-CO	US	80206	303-333-3863
0000940400-25-014474	0000929523	Prudential Investment Portfolios, Inc. 17	811-07215	54930028RC1CXKGYQ890	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000035402-25-003068	0000819118	Fidelity Concord Street Trust	811-05251	EEX0N4ID1C226M44VF22	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001004726-25-003167	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001193125-25-334097	0001380175	American Funds Target Date Retirement Series	811-21981	549300LHAMB8X3UKXY85	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-25-334136	0001505612	American Funds Global Balanced Fund	811-22496	IW8BXWMJ747EV3OLWY78	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0000913181-25-000365	0000088525	Guggenheim Funds Trust	811-01136	54930033G24U3UGWK691	702 King Farm Blvd., Suite 200		Rockville	US-MD	US	20850	301-296-5100
0000940400-25-014353	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000106444-25-000232	0000106444	VANGUARD FIXED INCOME SECURITIES FUNDS	811-02368	549300F3N7VQKU6I4K64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000225997-25-000205	0000225997	VANGUARD MUNICIPAL BOND FUNDS	811-02687	5493005YO1ELB2VD2X90	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000736054-25-000149	0000736054	VANGUARD STAR FUNDS	811-03919	5493005RYBM6XD8JKF03	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000734383-25-000145	0000734383	VANGUARD SPECIALIZED FUNDS	811-03916	549300OM0CLBHZ9MZW59	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001004655-25-000255	0001004655	VANGUARD WHITEHALL FUNDS	811-07443	5493006QD7VQBS2FQD13	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0002071691-25-009449	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000898745-25-000869	0000898745	Principal Funds, Inc	811-07572	549300HZGBXSW6DSXF23	801 Grand Ave		Des Moines	US-IA	US	50309	515-235-1719
0000035402-25-002869	0000754510	Fidelity Securities Fund	811-04118	LIUMB3NDWOFJPXVROE85	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
